File Name,Variable Name,Brief Description,Variable Type,Variable Length,Values,Required ,Null Value
Dataset One NEMS-C,Q114d,Fat grams regular meatloaf,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q114e,Kcal regular meatloaf,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q115,Comments regular meatloaf,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q116_1,Available baked goods bagel,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q116_2,Available baked goods English muffin,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q116_3,Available baked goods low fat muffin,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q116_4,Available baked goods regular muffin,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q116_5,Available baked goods Danish,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q116_6,Available baked goods none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q116a,Price bagel,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q116b,Amt/pkg bagel,Integer,255,?1,No,Yes
Dataset One NEMS-C,Q116c,Fat (g)/serv bagel,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q116d,Kcal/serv bagel,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q117,Comments bagel,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q117a,Price English muffin,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q117b,Amt/pkg English muffin,Integer,255,?1,No,Yes
Dataset One NEMS-C,Q117c,Fat (g)/serv English muffin,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q117d,Kcal/serv English muffin,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q118,Comments English muffin,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q118a,Price low fat muffin,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q118b,Amt/pkg low fat muffin,Integer,255,?1,No,Yes
Dataset One NEMS-C,Q118c,Fat (g)/serv low fat muffin,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q118d,Kcal/serv low fat muffin,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q119a,Number of types low fat muffin,Integer,255,?1,No,Yes
Dataset One NEMS-C,Q120,Comments low fat muffin,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q120a,Price regular muffin,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q120b,Amt/pkg regular muffin,Integer,255,?1,No,Yes
Dataset One NEMS-C,Q120c,Fat (g)/serv regular muffin,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q120d,Kcal/serv regular muffin,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q121,Comments regular muffin,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q121a,Price Danish,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q121b,Amt/pkg Danish,Integer,255,?1,No,Yes
Dataset One NEMS-C,Q121c,Fat (g)/serv Danish,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q121d,Kcal/serv Danish,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q122,Comments Danish,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q123_1,Available beverages Diet Coke,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q123_2,Available beverages other diet soda,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q123_3,Available beverages Coke,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q123_4,Available beverages other regular soda,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q123_5,Available beverages water unflavored,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q123_6,Available beverages juice 100%,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q123_7,Available beverages juice drink,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q123_8,Available beverages none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q123a,12 pack (12 oz) price Diet Coke,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q123b,Other pack size price Diet Coke,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q124,Comments Diet Coke,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q124a,12 pack (12 oz) price other diet soda,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q124b,Other pack size price other diet soda,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q125,Comments other diet soda,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q125a,12 pack (12 oz) price Coke,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q125b,Other pack size price Coke,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q126,Comments Coke,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q126a,12 pack (12 oz) price other nondiet soda,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q126b,Other pack size price other nondiet soda,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q127,Comments other nondiet soda,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q128a,Brand water,Integer,255,"1=Dasani, 2=Aquafina, 3=Ozark, 4=other",No,Yes
Dataset One NEMS-C,Q128b,24 pack (16.9 oz) price water,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q128c,Other pack size price water,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q129,Comments water,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q130a,Brand juice 100%,Integer,255,"1=Minute Maid, 2=Tropicana, 3=other",No,Yes
Dataset One NEMS-C,Q130b,Price juice 100%,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q130c,Oz juice 100%,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q131,Comments juice 100%,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q132a,Brand juice drink,Integer,255,"1=Minute Maid, 2=Tropicana, 3=other",No,Yes
Dataset One NEMS-C,Q132b,Price juice drink,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q132c,Oz juice drink,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q133,Comments juice drink,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q134_1,Available bread whole wheat,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q134_2,Available bread white,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q134_3,Available bread none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q135a,Brand whole wheat bread,Integer,255,"1=Nature's Own, 2=Sarah Lee, 3=other",No,Yes
Dataset One NEMS-C,Q135b,Price whole wheat bread,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q135c,Oz whole wheat bread,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q136a,# of types whole wheat bread,Integer,255,"1=1, 2=2, 3=3, 4=4, 5=5 or more",No,Yes
Dataset One NEMS-C,Q137,Comments whole wheat bread,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q138a,Brand white bread,Integer,255,"1=Nature's Own, 2=Sarah Lee, 3=other",No,Yes
Dataset One NEMS-C,Q138b,Price white bread,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q138c,Oz white bread,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q139,Comments white bread,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q140_1,Available chips low fat,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q140_2,Available chips regular,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q140_3,Available chips none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q141a,Brand low fat chips,Integer,255,"1=Lays, 2=Ruffles, 3=other",No,Yes
Dataset One NEMS-C,Q141b,Price low fat chips,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q141c,Oz  low fat chips,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q142a,# of types low fat chips,Integer,255,"1=1, 2=2, 3=3, 4=4, 5=5 or more",No,Yes
Dataset One NEMS-C,Q143,Comments low fat chips,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q144a,Brand,Integer,255,"1=Lays, 2=Ruffles, 3=other",No,Yes
Dataset One NEMS-C,Q144b,Price,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q144c,Oz,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q145,Comments,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q146_1,Available 100 calorie snacks cookies or bars,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q146_2,"Available 100 calorie snacks chips, pretzels or crackers",Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q146_3,Available 100 calorie snacks nuts,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q146_4,Available 100 calorie snacks fruit,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q146_5,Available 100 calorie snacks none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q147,# of types 100 calorie snacks,Integer,255,"1=1, 2=2, 3=3, 4=4, 5=5, 6=6 or more",No,Yes
Dataset One NEMS-C,Q148_1,Available cereal lower sugar,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q148_2,Available cereal regular,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q148_3,Available cereal none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q149a,Type (plain) lower sugar cereal,Integer,255,"1=Cheerios, 2=Corn Flakes, 3=other",No,Yes
Dataset One NEMS-C,Q149b,Price lower sugar cereal,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q149c,Oz lower sugar cereal,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q150a,# of types lower sugar cereal,Integer,255,"1=1, 2=2, 3=3 or more",No,Yes
Dataset One NEMS-C,Q151,Comments lower sugar cereal,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q152a,Type (flavored) regular cereal,Integer,255,"1=Cheerios, 2=Frosted Flakes, 3=other",No,Yes
Dataset One NEMS-C,Q152b,Price regular cereal,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q152c,Oz regular cereal,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q153,Comments regular cereal,Text,255,unlimited,No,Yes
Dataset One NEMS-C,milk_score,Milk score,Integer,255,-1-5,No,Yes
Dataset One NEMS-C,fv_score,Fresh fruit and vegetable score,Integer,255,0-12,No,Yes
Dataset One NEMS-C,frozcanfv_score,Frozen and canned fruit and vegetable score,Integer,255,0-4,No,Yes
Dataset One NEMS-C,meat_score,Meat score,Integer,255,-2-8,No,Yes
Dataset One NEMS-C,frozdin_score,Frozen dinner score,Integer,255,-1-4,No,Yes
Dataset One NEMS-C,bgood_score,Baked goods score,Integer,255,-1-4,No,Yes
Dataset One NEMS-C,bev_score,Beverage score,Integer,255,-1-6,No,Yes
Dataset One NEMS-C,bread_score,Whole wheat bread score,Integer,255,-1-5,No,Yes
Dataset One NEMS-C,chip_score,Baked chips score,Integer,255,-1-6,No,Yes
Dataset One NEMS-C,cereal_score,Cereal score,Integer,255,-1-5,No,Yes
Dataset One NEMS-C,avail_score,Availability score,Integer,255,0-31,No,Yes
Dataset One NEMS-C,price_score,Price score,Integer,255,-9-20,No,Yes
Dataset One NEMS-C,qual_score,Quality score,Integer,255,0-6,No,Yes
Dataset One NEMS-C,total_score,"Total summary score (sum of all individual food scores or sum of availability, price and quality scores)",Integer,255,-9-57,No,Yes
Dataset One NEMS-C,subtype,Subclassification,Varchar,255,"CS=corner store, DS=dollar store, GS=gas station, PH=pharmacy",No,Yes
,,,,,,,
Dataset Two NEMS-G,ID_date,Date of interview,Date,255,month/day/year,Yes,No
Dataset Two NEMS-G,Q1,Store ID,Varchar,255,g001-g014,Yes,No
Dataset Two NEMS-G,Q2,Number of cash registers,Integer,255,4-36,No,Yes
Dataset Two NEMS-G,Q3_1,Available skim milk,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q3_2,Available 1% milk,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q3_3,Available 2% milk,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q3_4,Available whole milk,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q3_5,Available milk none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q4a,Price lowest fat milk 1/2 gallon,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q4b,Price lowest fat milk gallon,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q4c,Price whole milk 1/2 gallon,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q4d,Price whole milk gallon,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q5,Milk brand,Integer,255,"1=store, 2=other",No,Yes
Dataset Two NEMS-G,Q5a,Specify other milk brand,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q6,Shelf space milk,Integer,255,"1=less than 25%, 2=25% to 49%, 3=50% to 74%, 4=at least 75%",No,Yes
Dataset Two NEMS-G,Q7_1,Available fresh fruit banana,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q7_2,Available fresh fruit apple,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q7_3,Available fresh fruit orange,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q7_4,Available fresh fruit grape,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q7_5,Available fresh fruit cantaloupe,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q7_6,Available fresh fruit peach,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q7_7,Available fresh fruit strawberry,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q7_8,Available fresh fruit honey dew melon,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q7_9,Available fresh fruit watermelon,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q7_10,Available fresh fruit pear,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q7_11,Available fresh fruit none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q8a,Quality banana,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q8b,Quantity banana,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q9a,Unit banana,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q9b,Price banana,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q10,Comments banana,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q11a,Quality apple,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q11b,Quantity apple,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q12a,Unit apple,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q12b,Price apple,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q13,Comments apple,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q14,Type apple,Integer,255,"1=red delicious, 2=other",No,Yes
Dataset Two NEMS-G,Q14a,Specify other type apple,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q15a,Quality orange,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q15b,Quantity orange,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q16a,Unit orange,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q16b,Price orange,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q17,Comments orange,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q18,Type orange,Integer,255,"1=navel, 2=other",No,Yes
Dataset Two NEMS-G,Q18a,Specify other type orange,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q19a,Quality grape,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q19b,Quantity grape,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q20a,Unit grape,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q20b,Price grape,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q21,Comments grape,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q22,Type grape,Integer,255,"1=red seedless, 2=other",No,Yes
Dataset Two NEMS-G,Q22a,Specify other type grape,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q23a,Quality cantaloupe,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q23b,Quantity cantaloupe,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q24a,Unit cantaloupe,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q24b,Price cantaloupe,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q25,Comments cantaloupe,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q26a,Quality peach,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q26b,Quantity peach,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q27a,Unit peach,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q27b,Price peach,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q28,Comments peach,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q29a,Quality strawberry,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q29b,Quantity strawberry,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q30a,Unit strawberry,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q30b,Price strawberry,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q31,Comments strawberry,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q32a,Quality honey dew melon,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q32b,Quantity honey dew melon,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q33a,Unit honey dew melon,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q33b,Price honey dew melon,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q34,Comments honey dew melon,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q35a,Quality watermelon,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q35b,Quantity watermelon,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q36a,Unit watermelon,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q36b,Price watermelon,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q37,Comments watermelon,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q38,Type watermelon,Integer,255,"1=seedless, 2=other",No,Yes
Dataset Two NEMS-G,Q38a,Specify other type watermelon,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q39a,Quality pear,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q39b,Quantity pear,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q40a,Unit pear,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q40b,Price pear,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q41,Comments pear,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q42,Type pear,Integer,255,"1=Anjou, 2=other",No,Yes
Dataset Two NEMS-G,Q42a,Specify other type pear,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q43_1,Available fresh vegetable carrot,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q43_2,Available fresh vegetable tomato,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q43_3,Available fresh vegetable sweet potato,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q43_4,Available fresh vegetable broccoli,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q43_5,Available fresh vegetable lettuce,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q43_6,Available fresh vegetable corn,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q43_7,Available fresh vegetable celery,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q43_8,Available fresh vegetable cucumber,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q43_9,Available fresh vegetable cabbage,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q43_10,Available fresh vegetable cauliflower,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q43_11,Available fresh vegetable none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q44a,Quality carrot,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q44b,Quantity carrot,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q45a,Unit carrot,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q45b,Price carrot,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q46,Comments carrot,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q47a,Quality tomato,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q47b,Quantity tomato,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q48a,Unit tomato,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q48b,Price tomato,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q49,Comments tomato,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q50,Type tomato,Integer,255,"1=beefsteak, 2=other",No,Yes
Dataset Two NEMS-G,Q50a,Specify other type tomato,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q51a,Quality sweet potato,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q51b,Quantity  sweet potato,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q52a,Unit sweet potato,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q52b,Price sweet potato,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q53,Comments sweet potato,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q54a,Quality broccoli,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q54b,Quantity broccoli,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q55a,Unit broccoli,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q55b,Price broccoli,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q56,Comments broccoli,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q57a,Quality lettuce,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q57b,Quantity lettuce,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q58a,Unit lettuce,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q58b,Price lettuce,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q59,Comments lettuce,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q60,Type lettuce,Integer,255,"1=iceberg (head), 2=other",No,Yes
Dataset Two NEMS-G,Q60a,Specify other type lettuce,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q61a,Quality corn,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q61b,Quantity corn,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q62a,Unit corn,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q62b,Price corn,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q63,Comments corn,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q64a,Quality celery,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q64b,Quantity celery,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q65a,Unit celery,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q65b,Price celery,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q66,Comments celery,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q67a,Quality cucumber,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q67b,Quantity cucumber,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q68a,Unit cucumber,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q68b,Price cucumber,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q69,Comments cucumber,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q70,Type cucumber,Integer,255,"1=regular, 2=other",No,Yes
Dataset Two NEMS-G,Q70a,Specify other type cucumber,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q71a,Quality cabbage,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q71b,Quantity cabbage,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q72a,Unit cabbage,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q72b,Price cabbage,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q73,Comments cabbage,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q74,Type cabbage,Integer,255,"1=green (head), 2=other",No,Yes
Dataset Two NEMS-G,Q74a,Specify other type cabbage,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q75a,Quality cauliflower,Integer,255,"1=good, 2=bad",No,Yes
Dataset Two NEMS-G,Q75b,Quantity cauliflower,Integer,255,?1,No,Yes
Dataset Two NEMS-G,Q76a,Unit cauliflower,Integer,255,"1=piece, 2=pound",No,Yes
Dataset Two NEMS-G,Q76b,Price cauliflower,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q77,Comments cauliflower,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q78_1,Available beef 4%-7% fat,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q78_2,Available beef 10% fat,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q78_3,Available beef 15% fat,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q78_4,Available beef 20%-30% fat,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q78_5,Available beef none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset Two NEMS-G,Q78a,Price/LB beef 4%-7% fat,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q78b,% fat beef 4%-7% fat,Integer,255,Numeric,No,Yes
Dataset Two NEMS-G,Q79,Comments beef 4%-7% fat,Integer,255,4-7,No,Yes
Dataset Two NEMS-G,Q79a,Price/LB beef 10% fat,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q79b,% fat beef 10% fat,Integer,255,10,No,Yes
Dataset Two NEMS-G,Q80,Comments beef 10% fat,Text,255,unlimited,No,Yes
Dataset Two NEMS-G,Q80a,Price/LB beef 15% fat,Numeric,255,Currency ($),No,Yes
Dataset Two NEMS-G,Q80b,% fat beef 15% fat,Integer,255,15,No,Yes
